海域编号,海域名字,封面文件,封面原图URL,封面尺寸,路线图文件,路线图原图URL,路线图尺寸
1-1,镇守府正面海域,kcwiki_海域图片/封面/1-1镇守府正面海域.png,https://uploads.kcwiki.cn/commons/f/f8/MapBannerHD1-1.png,476x206,kcwiki_海域图片/路线图/1-1镇守府正面海域+全图.png,https://uploads.kcwiki.cn/commons/0/04/MapHD1-1.png,1200x720
1-2,南西群岛近海,kcwiki_海域图片/封面/1-2南西群岛近海.png,https://uploads.kcwiki.cn/commons/4/4b/MapBannerHD1-2.png,476x206,kcwiki_海域图片/路线图/1-2南西群岛近海+全图.png,https://uploads.kcwiki.cn/commons/4/40/MapHD1-2.png,1200x720
1-3,炼油厂地带沿岸,kcwiki_海域图片/封面/1-3炼油厂地带沿岸.png,https://uploads.kcwiki.cn/commons/8/85/MapBannerHD1-3.png,476x206,kcwiki_海域图片/路线图/1-3炼油厂地带沿岸+全图.png,https://uploads.kcwiki.cn/commons/e/e9/MapHD1-3.png,1200x720
1-4,南西群岛防卫线,kcwiki_海域图片/封面/1-4南西群岛防卫线.png,https://uploads.kcwiki.cn/commons/8/8b/MapBannerHD1-4.png,476x206,kcwiki_海域图片/路线图/1-4南西群岛防卫线+全图.png,https://uploads.kcwiki.cn/commons/8/82/MapHD1-4.png,1200x720
1-5,镇守府近海,kcwiki_海域图片/封面/1-5镇守府近海.png,https://uploads.kcwiki.cn/commons/7/77/MapBannerHD1-5.png,980x136,kcwiki_海域图片/路线图/1-5镇守府近海+全图.png,https://uploads.kcwiki.cn/commons/9/9c/MapHD1-5.png,1200x720
1-6,镇守府近海航路,kcwiki_海域图片/封面/1-6镇守府近海航路.png,https://uploads.kcwiki.cn/commons/2/2b/MapBannerHD1-6.png,980x136,kcwiki_海域图片/路线图/1-6镇守府近海航路+全图.png,https://uploads.kcwiki.cn/commons/c/cf/MapHD1-6.png,1200x720
2-1,南西诸岛近海,kcwiki_海域图片/封面/2-1南西诸岛近海.png,https://uploads.kcwiki.cn/commons/4/41/MapBannerHD2-1.png,476x206,kcwiki_海域图片/路线图/2-1南西诸岛近海+全图.png,https://uploads.kcwiki.cn/commons/f/f4/MapHD2-1.png,1200x720
2-2,巴士海峡,kcwiki_海域图片/封面/2-2巴士海峡.png,https://uploads.kcwiki.cn/commons/b/b0/MapBannerHD2-2.png,476x206,kcwiki_海域图片/路线图/2-2巴士海峡+全图.png,https://uploads.kcwiki.cn/commons/d/da/MapHD2-2.png,1200x720
2-3,东部奥廖尔海,kcwiki_海域图片/封面/2-3东部奥廖尔海.png,https://uploads.kcwiki.cn/commons/d/d7/MapBannerHD2-3.png,476x206,kcwiki_海域图片/路线图/2-3东部奥廖尔海+全图.png,https://uploads.kcwiki.cn/commons/8/87/MapHD2-3.png,1200x720
2-4,冲之岛海域,kcwiki_海域图片/封面/2-4冲之岛海域.png,https://uploads.kcwiki.cn/commons/0/05/MapBannerHD2-4.png,476x206,kcwiki_海域图片/路线图/2-4冲之岛海域+全图.png,https://uploads.kcwiki.cn/commons/6/60/MapHD2-4.png,1200x720
2-5,冲之岛海,kcwiki_海域图片/封面/2-5冲之岛海.png,https://uploads.kcwiki.cn/commons/9/93/MapBannerHD2-5.png,980x136,kcwiki_海域图片/路线图/2-5冲之岛海+全图.png,https://uploads.kcwiki.cn/commons/4/4b/MapHD2-5.png,1200x720
3-1,莫雷海,kcwiki_海域图片/封面/3-1莫雷海.png,https://uploads.kcwiki.cn/commons/1/12/MapBannerHD3-1.png,476x206,kcwiki_海域图片/路线图/3-1莫雷海+全图.png,https://uploads.kcwiki.cn/commons/d/d3/MapHD3-1.png,1200x720
3-2,基斯岛近海,kcwiki_海域图片/封面/3-2基斯岛近海.png,https://uploads.kcwiki.cn/commons/0/07/MapBannerHD3-2.png,476x206,kcwiki_海域图片/路线图/3-2基斯岛近海+全图.png,https://uploads.kcwiki.cn/commons/6/63/MapHD3-2.png,1200x720
3-3,阿尔锋西诺方向,kcwiki_海域图片/封面/3-3阿尔锋西诺方向.png,https://uploads.kcwiki.cn/commons/3/3a/MapBannerHD3-3.png,476x206,kcwiki_海域图片/路线图/3-3阿尔锋西诺方向+全图.png,https://uploads.kcwiki.cn/commons/d/db/MapHD3-3.png,1200x720
3-4,北方海域全域,kcwiki_海域图片/封面/3-4北方海域全域.png,https://uploads.kcwiki.cn/commons/d/d4/MapBannerHD3-4.png,476x206,kcwiki_海域图片/路线图/3-4北方海域全域+全图.png,https://uploads.kcwiki.cn/commons/6/6e/MapHD3-4.png,1200x720
3-5,北方阿留申海域,kcwiki_海域图片/封面/3-5北方阿留申海域.png,https://uploads.kcwiki.cn/commons/c/c5/MapBannerHD3-5.png,980x136,kcwiki_海域图片/路线图/3-5北方阿留申海域+全图.png,https://uploads.kcwiki.cn/commons/a/ae/MapHD3-5.png,1200x720
