"显示编号","内部ID","普通规则一致","大成功分组一致","Poi普通规则","本项目普通规则","Poi大成功策略","本项目大成功策略","受影响的判定差异","人工复核"
"1","1","是","是","FSLevel=1；ShipCount=2；Morale=28","FSLevel=1；ShipCount=2；Morale=28","standard","standard","daihatsu-readiness",""
"2","2","是","是","FSLevel=2；ShipCount=4；Morale=13","FSLevel=2；ShipCount=4；Morale=13","standard","standard","daihatsu-readiness",""
"3","3","是","是","FSLevel=3；ShipCount=3；Morale=22","FSLevel=3；ShipCount=3；Morale=22","standard","standard","daihatsu-readiness",""
"4","4","是","是","FSLevel=3；ShipCount=3；AnyFleetCompo=CL:1+DDorDE:2|DD:1+DE:3|CT:1+DE:2|CVE:1+DE:2|CVE:1+DD:2","FSLevel=3；ShipCount=3；AnyFleetCompo=CL:1+DDorDE:2|DD:1+DE:3|CT:1+DE:2|CVE:1+DE:2|CVE:1+DD:2","standard","standard","cve-classification；daihatsu-readiness",""
"5","5","是","是","FSLevel=3；ShipCount=4；AnyFleetCompo=CL:1+DDorDE:2|DD:1+DE:3|CT:1+DE:2|CVE:1+DE:2|CVE:1+DD:2","FSLevel=3；ShipCount=4；AnyFleetCompo=CL:1+DDorDE:2|DD:1+DE:3|CT:1+DE:2|CVE:1+DE:2|CVE:1+DD:2","standard","standard","cve-classification；daihatsu-readiness",""
"6","6","是","是","FSLevel=4；ShipCount=4；Morale=1","FSLevel=4；ShipCount=4；Morale=1","standard","standard","daihatsu-readiness",""
"7","7","是","是","FSLevel=5；ShipCount=6","FSLevel=5；ShipCount=6","standard","standard","daihatsu-readiness",""
"8","8","是","是","FSLevel=6；ShipCount=6","FSLevel=6；ShipCount=6","standard","standard","daihatsu-readiness",""
"9","9","是","是","FSLevel=3；ShipCount=4；AnyFleetCompo=CL:1+DDorDE:2|DD:1+DE:3|CT:1+DE:2|CVE:1+DE:2|CVE:1+DD:2","FSLevel=3；ShipCount=4；AnyFleetCompo=CL:1+DDorDE:2|DD:1+DE:3|CT:1+DE:2|CVE:1+DE:2|CVE:1+DD:2","standard","standard","cve-classification；daihatsu-readiness",""
"10","10","是","是","FSLevel=3；ShipCount=3；FleetCompo=CL:2","FSLevel=3；ShipCount=3；FleetCompo=CL:2","standard","standard","daihatsu-readiness",""
"11","11","是","是","FSLevel=6；ShipCount=4；FleetCompo=DDorDE:2","FSLevel=6；ShipCount=4；FleetCompo=DDorDE:2","standard","standard","daihatsu-readiness",""
"12","12","是","是","FSLevel=4；ShipCount=4；FleetCompo=DDorDE:2","FSLevel=4；ShipCount=4；FleetCompo=DDorDE:2","standard","standard","daihatsu-readiness",""
"13","13","是","是","FSLevel=5；ShipCount=6；FleetCompo=CL:1+DD:4","FSLevel=5；ShipCount=6；FleetCompo=CL:1+DD:4","standard","standard","daihatsu-readiness",""
"14","14","是","是","FSLevel=6；ShipCount=6；FleetCompo=CL:1+DD:3","FSLevel=6；ShipCount=6；FleetCompo=CL:1+DD:3","standard","standard","daihatsu-readiness",""
"15","15","是","是","FSLevel=9；ShipCount=6；FleetCompo=CVLike:2+DD:2","FSLevel=9；ShipCount=6；FleetCompo=CVLike:2+DD:2","standard","standard","daihatsu-readiness",""
"16","16","是","是","FSLevel=11；ShipCount=6；FleetCompo=CL:1+DD:2","FSLevel=11；ShipCount=6；FleetCompo=CL:1+DD:2","standard","standard","daihatsu-readiness",""
"17","17","是","是","FSLevel=20；ShipCount=6；FleetCompo=CL:1+DD:3","FSLevel=20；ShipCount=6；FleetCompo=CL:1+DD:3","standard","standard","daihatsu-readiness",""
"18","18","是","是","FSLevel=15；ShipCount=6；FleetCompo=CVLike:3+DD:2","FSLevel=15；ShipCount=6；FleetCompo=CVLike:3+DD:2","standard","standard","daihatsu-readiness",""
"19","19","是","是","FSLevel=20；ShipCount=6；FleetCompo=BBV:2+DD:2","FSLevel=20；ShipCount=6；FleetCompo=BBV:2+DD:2","standard","standard","daihatsu-readiness",""
"20","20","是","是","FSLevel=1；ShipCount=2；FleetCompo=SSLike:1+CL:1","FSLevel=1；ShipCount=2；FleetCompo=SSLike:1+CL:1","standard","standard","daihatsu-readiness",""
"21","21","是","是","FSLevel=15；ShipCount=5；LevelSum=30；FleetCompo=CL:1+DD:4；DrumCarrierCount=3","FSLevel=15；ShipCount=5；LevelSum=30；FleetCompo=CL:1+DD:4；DrumCarrierCount=3","drum:3:4:4","drum:3:4:4","daihatsu-readiness",""
"22","22","是","是","FSLevel=30；ShipCount=6；LevelSum=45；FleetCompo=CA:1+CL:1+DD:2","FSLevel=30；ShipCount=6；LevelSum=45；FleetCompo=CA:1+CL:1+DD:2","standard","standard","daihatsu-readiness",""
"23","23","是","是","FSLevel=50；ShipCount=6；LevelSum=200；FleetCompo=BBV:2+DD:2","FSLevel=50；ShipCount=6；LevelSum=200；FleetCompo=BBV:2+DD:2","standard","standard","daihatsu-readiness",""
